year_month,ticker,asset_class,RS_raw,DR_raw,LQ_raw,RS_norm,DR_norm,LQ_norm,PDAIS_EW,PDAIS_RF,PDAIS_LF,sector
2020-01,ADA-USD,Crypto,0.9547647358568507,0.9796715361928443,14.935711961151286,66.1444731358159,60.50808763601824,0.0,42.217520257278046,51.22466285871342,25.33051215436683,Crypto
2020-02,ADA-USD,Crypto,0.9571989755384678,0.9745920052462796,16.074901362130227,40.55630764339091,50.643928331520236,0.0,30.400078658303716,35.47133232115152,18.240047194982232,Crypto
2020-03,ADA-USD,Crypto,0.9173904310764381,0.9277619059678318,14.838871761910488,32.96645776932037,32.76821321433475,0.0,21.911556994551706,26.31369284896061,13.146934196731024,Crypto
2020-04,ADA-USD,Crypto,0.950440900359999,0.9724688299523091,14.980337889561284,35.970964117063296,27.27930026000534,0.0,21.083421459022876,26.16927213653325,12.650052875413728,Crypto
2020-05,ADA-USD,Crypto,0.9561320090358023,0.975659129500815,15.975156038008798,0.0,35.984765168883,0.0,11.994921722961001,10.7954295506649,7.196953033776601,Crypto
2020-06,ADA-USD,Crypto,0.9462598908638241,0.9744226744846264,16.75452737103729,0.0,0.0,0.0,0.0,0.0,0.0,Crypto
2020-07,ADA-USD,Crypto,0.9495787639873783,0.98108147990357,17.49142501479763,0.0,0.0,8.886029901196286,2.9620099670654287,1.7772059802392572,5.331617940717772,Crypto
2020-08,ADA-USD,Crypto,0.9575808628113055,0.9720150790677913,17.661829914066953,5.3921219638520705,0.0,6.753081862409682,4.048401275420584,4.046677354407972,5.130273510216224,Crypto
2020-09,ADA-USD,Crypto,0.9451751815802865,0.9539971944962072,17.935533328512385,36.983547488020115,4.089555632154681,9.750178006242624,16.941093708805806,21.668676034904987,14.064727427780532,Crypto
2020-10,ADA-USD,Crypto,0.9606096750371012,0.9768565447223158,18.159217183607026,0.0,0.0,10.94221033262588,3.6474034442086265,2.1884420665251763,6.565326199575527,Crypto
2020-11,ADA-USD,Crypto,0.9548721669984966,0.974779543726432,18.188836352900186,38.1466730758037,0.0,9.525612710319036,15.890761928707578,20.978459079965656,13.344702241352163,Crypto
2020-12,ADA-USD,Crypto,0.9381268631999337,0.9613616453901203,18.996137658891747,60.653778227965915,54.604586412720465,11.401134715441724,42.21983311870937,48.98849198088744,29.89235375740231,Crypto
2021-01,ADA-USD,Crypto,0.915806374522766,0.9587818048414652,20.779992125113246,54.398801892673085,54.44477868429307,18.059772814279267,42.30111779708181,47.14478911448032,32.60457980396079,Crypto
2021-02,ADA-USD,Crypto,0.9136442416706313,0.9690227441180997,22.686656068178547,39.33659711941466,78.41165456424196,23.843866471513568,47.19737271839006,47.96056822328263,37.85597021963947,Crypto
2021-03,ADA-USD,Crypto,0.9304766105191448,0.9622420266199014,22.366078651890216,0.0,12.115141344561161,23.29191709858516,11.802352814382106,8.29292582308538,16.398178528063326,Crypto
2021-04,ADA-USD,Crypto,0.9555694954091554,0.9720372769092107,22.283876454934692,80.98607349434208,65.71056720264939,12.547197656495152,53.0812794511622,62.71564643926488,36.86764673329539,Crypto
2021-05,ADA-USD,Crypto,0.9156289029242933,0.9499018231919107,23.086966136930435,61.959883229564106,69.79614543405404,21.45944552833804,51.07182473065206,56.21067435066587,39.22687304972645,Crypto
2021-06,ADA-USD,Crypto,0.9273274116357896,0.9475058593645654,22.13610491169858,39.12386749001486,45.080412369426035,23.90245338022056,36.03557774655382,37.86654813187935,31.18232800002052,Crypto
2021-07,ADA-USD,Crypto,0.9582005158024589,0.9686581018972085,21.369899820948884,77.24112690726979,56.456538140593835,22.828471050930798,52.175378699598134,60.123219105999205,40.4366156401312,Crypto
2021-08,ADA-USD,Crypto,0.9505125372145812,0.9813533468977259,23.163279849588847,37.07803811696042,66.8466992087797,28.911693084357697,44.27881013669927,44.37536743798566,38.13196331576264,Crypto
2021-09,ADA-USD,Crypto,0.9425389219897974,0.9634356737897891,23.23487272255722,19.40200877236277,60.521817762044684,26.983373045796867,35.63573319340144,33.25422432395416,32.174789134359614,Crypto
2021-10,ADA-USD,Crypto,0.966642270151477,0.977799431792722,22.43190509400202,100.0,72.33666674416091,22.25294246132422,64.86320306849504,76.15158851551311,47.81909882562672,Crypto
2021-11,ADA-USD,Crypto,0.9648264560393739,0.9717187957916306,22.18626883145363,73.71148798351457,33.73036855834552,18.19874874980367,41.88020176388792,50.614604309221676,32.40762055825422,Crypto
2021-12,ADA-USD,Crypto,0.9487885702538185,0.9614828234564822,21.43145710364501,23.53396708408307,33.76371805055942,18.17019644193475,25.155960525525746,25.530138245596312,22.361654892089348,Crypto
2022-01,ADA-USD,Crypto,0.9475136895922806,0.9643873731262332,21.33481894459976,0.0,0.0,19.67560812331537,6.558536041105124,3.9351216246630742,11.805364873989221,Crypto
2022-02,ADA-USD,Crypto,0.9576534147873649,0.9680196992611476,21.06541719700067,59.188902736210736,0.0,19.0480904859735,26.07899774072808,33.40406946530007,23.26663483882625,Crypto
2022-03,ADA-USD,Crypto,0.9575010574579431,0.9736459237128761,20.6612977554196,37.78583703425155,12.140856502844457,17.13397000183126,22.35355451297575,25.961969468345366,20.265720708517957,Crypto
2022-04,ADA-USD,Crypto,0.958883558049699,0.9689137450476568,20.47217464519015,47.816544263995056,29.55095339195486,15.336681403973815,30.901393019974577,35.84089443037875,24.67550837357427,Crypto
2022-05,ADA-USD,Crypto,0.9320084753402739,0.9443646392807928,20.26025368694707,6.504391855812576,0.0,17.104636498026725,7.869676117946433,6.673123227511633,11.56366026997855,Crypto
