rebalance_date,EQ_ABBV,EQ_ABT,EQ_ADBE,EQ_AEP,EQ_AMD,EQ_AMGN,EQ_AMT,EQ_BA,EQ_CAT,EQ_CCI,EQ_CMCSA,EQ_COP,EQ_CVX,EQ_D,EQ_DD,EQ_DIS,EQ_DOW,EQ_DUK,EQ_EA,EQ_GE,EQ_GILD,EQ_GS,EQ_INTC,EQ_KO,EQ_MMM,EQ_MRK,EQ_MS,EQ_NEE,EQ_NEM,EQ_NKE,EQ_NUE,EQ_NVDA,EQ_O,EQ_OXY,EQ_PLD,EQ_PSA,EQ_QCOM,EQ_SBUX,EQ_SHW,EQ_SLB,EQ_SO,EQ_T,EQ_TMUS,EQ_TTWO,EQ_UPS,EQ_USB,EQ_V,EQ_WFC,EQ_WMT,EQ_XOM,CR_ADA-USD,CR_BCH-USD,CR_BTC-USD,CR_EOS-USD,CR_ETC-USD,CR_ETH-USD,CR_LTC-USD,CR_TRX-USD,CR_XLM-USD,CR_XRP-USD
2021-01-04,0.025520544502605484,0.021253615808835644,0.017184150179668563,0.021277889208130934,0.015597626177271832,0.022087669334888812,0.01695818324109318,0.009837449097303278,0.016766487866553378,0.018108794726130865,0.018717701460465957,0.009495467730837115,0.011361246407664729,0.01731122513076045,0.01439535094284041,0.015865885035033365,0.010915143857165006,0.01707310755543787,0.028530005002055946,0.013773869362288275,0.03500391807581153,0.01355642862784703,0.014906461189322144,0.021578595917875202,0.020468524508408928,0.02634834915963025,0.011704779491383396,0.01793635614338301,0.032510320043533804,0.01970992831217368,0.012905683781755946,0.013892175191898885,0.013245329261475494,0.006928369225982721,0.015147196195936777,0.02180643622468631,0.014498447584205916,0.015846977112597846,0.017294351794690483,0.009342537747576617,0.016073659794032674,0.020602058243245125,0.020076904459158943,0.02636746003033892,0.021578416218053502,0.012263686100095995,0.016749631655494885,0.011871679160974244,0.03288758990336808,0.01360054574632163,0.00922228073913248,0.010987499942823145,0.01708762082416632,0.011120380999910738,0.011498536790141987,0.011728791620713006,0.011173714786927186,0.011551986468472393,0.00822658085023164,0.008668397449189926
2021-02-01,0.02513745084163531,0.022080899577654786,0.01693301046724869,0.021741846622978688,0.01597154123381979,0.022453352079872722,0.017225516541384274,0.00991272314664931,0.016957052740764336,0.018281181695045463,0.018476884992751425,0.010173616838482545,0.012263945414260912,0.017784113312221267,0.014408473326502682,0.016184814385802535,0.011302391744943553,0.017488317470760427,0.028892712257003596,0.013290842695545854,0.03348587834654172,0.013580049389451142,0.013951182798618438,0.021134541205511677,0.02131946741674125,0.02587160187806383,0.012117926683570968,0.016960929781366218,0.032403513018181306,0.019074544607176176,0.013195479939832187,0.013923966064410695,0.013541775686344133,0.006816168527391563,0.015081741923286056,0.021606855739157906,0.015012897782742087,0.015183633077096997,0.01838758293320406,0.009721588233689678,0.01552228907881833,0.021237334754775395,0.01921977332049466,0.02527777895015731,0.021620988266203258,0.01240144884505892,0.016694659887777196,0.01138698278922803,0.03341029465562186,0.014647395597220978,0.008865866176422857,0.010301000275189105,0.01633245118233069,0.01084431460910766,0.01151953490114567,0.011175317733975072,0.011154592424450329,0.012266703701257722,0.007642142794856131,0.009147117638202541
2021-03-01,0.02434766364046932,0.0220317333726083,0.017215648770631774,0.02272837708449535,0.01545685088539809,0.023116697145670294,0.017635439828245735,0.009912071071121825,0.01700390796347294,0.019227191439532606,0.018027283865485768,0.010187036488453857,0.01217077792358158,0.018788464356368436,0.01234260814981657,0.016401446204118625,0.011109466474833985,0.017925158704626184,0.02819724858415924,0.013344090817888028,0.03172006142303225,0.013648429719488079,0.013428132556905776,0.0222845706813274,0.02029541389759406,0.025547857882673056,0.01158754074338642,0.016166274666702743,0.032859674007706875,0.019070630433036716,0.013295026913098095,0.014134484568203211,0.014295273247494496,0.006852083079319731,0.01614934306981298,0.024117232599884002,0.013849066349315434,0.014592289921243244,0.01841792917576019,0.00919208838373142,0.016126088088414866,0.021679846526770605,0.01832076012199452,0.02426587227299127,0.02309933419477733,0.011631762137043661,0.01668461515114938,0.011030067187197661,0.032407848375520534,0.014793466517288545,0.009107228687124413,0.0111355945138529,0.015817669379151165,0.011796427411238845,0.01131040127498454,0.011370292686507986,0.011435662236478732,0.011967446840709156,0.008904682063972266,0.008442368242137111
2021-04-01,0.028201621667692918,0.02417549994826085,0.017307934029662672,0.021373987703849056,0.013922660988031783,0.028195467221996298,0.018298127097623282,0.008192357726371717,0.014769935442243465,0.02025487053116346,0.01793556072880215,0.010148415586626578,0.01272380176654777,0.025033838874229573,0.012477241455236883,0.016134592002400437,0.010135446949523166,0.021987471320459397,0.03323940682633168,0.011976984667265649,0.02774102701505401,0.014999243434213315,0.015815694821821758,0.019997754652779982,0.022931222660136186,0.026411635214468928,0.013128941941413392,0.01729856449918961,0.025203150555112012,0.01917236853660433,0.012561920085068463,0.011765818554566834,0.015481368592551987,0.005457371851849401,0.01550852355258691,0.027921722078509775,0.013128237741867577,0.016359759063097386,0.018309544210593585,0.008307106030169702,0.017600679969485913,0.02225356261229047,0.021499411477495185,0.027799650548323455,0.018913028394945516,0.011478556697083768,0.015597513366353028,0.011402466309184277,0.041507400533535285,0.012811763896021578,0.006100211067037334,0.008243547343778603,0.013898808645678587,0.007228408034241674,0.007919822841290627,0.008935168153419316,0.008949375843591846,0.010530787106456161,0.005895937733793311,0.007447701800020136
2021-05-03,0.029176931990000692,0.022506701995888896,0.01914894527312297,0.027779157674630843,0.013808200802646213,0.025936155851215146,0.020228098933282864,0.007579893227704993,0.014119526440840477,0.020809065580050322,0.01749795673861483,0.009069769381140524,0.012249951005078004,0.03239269452024723,0.012410576023335231,0.015415963442205536,0.009759063834464307,0.026843072073269855,0.030709343717608514,0.011132610399758696,0.02810187179739583,0.014005381874632293,0.015404414811338396,0.02087412495703398,0.022411337559653657,0.02975601522947683,0.012763551926467593,0.01920765370185375,0.02281998571050172,0.018595376876898453,0.010386381785355224,0.013448836863292854,0.016351596826392336,0.00471811842787473,0.016803509798270562,0.025977951915415607,0.012125445395661136,0.016298665370905397,0.02225800170325366,0.007357312995005897,0.021104323584971288,0.02551498661829372,0.017870992059487913,0.02583738993820227,0.01740890637444233,0.011558274989277993,0.017094557811178236,0.010650680856981587,0.04238865173056779,0.011320008463797038,0.006490986881932132,0.006676242342266162,0.012003086915514306,0.005924859713245076,0.007127186672814881,0.008799792604176845,0.007318464571560448,0.007434372052678624,0.0045204727944205434,0.004716548592404649
2021-06-01,0.025857310191948847,0.02307148243359351,0.017851051989260444,0.030509180454685286,0.01427902674221852,0.02174034905199178,0.02133973296978946,0.008037654174600227,0.01602345844172227,0.023148225839468906,0.017191643304447935,0.008952440573776251,0.012007723251480433,0.03262171178944543,0.012573556490111534,0.017117906896958798,0.010438638786325654,0.027851787201533286,0.028171117964098963,0.013170171119519267,0.030090089902314203,0.014732798152911812,0.015493847961790779,0.021845014027123286,0.02378729478002263,0.02796851419772115,0.014042931353236764,0.020122419252734763,0.02029601363882848,0.018790145139550907,0.009826738657191888,0.012887943476890686,0.017018120715603633,0.0050031176369892015,0.01847700154596197,0.03204052390878052,0.011800923004258912,0.015523136514901175,0.02201370616230727,0.00802448166239073,0.023268566790956357,0.026069487620173547,0.018651326955408047,0.02676138003153624,0.017031722535087442,0.012951550080079782,0.017619411408257214,0.01210399287497027,0.0382605786073899,0.011873539648084339,0.00496543878324219,0.004291004575680224,0.009737830356103337,0.003742323373680162,0.004158968292904918,0.006944093895965648,0.005395904021535008,0.006087533651743039,0.003859403015946964,0.004487012122767912
2021-07-01,0.023765514551765926,0.020337317224394642,0.018440049479514737,0.030099593377623114,0.01564292823165059,0.02141638274384036,0.023742843934059475,0.00970501393507845,0.01616376290318328,0.026797975759950552,0.015720228010160577,0.009493885669378125,0.011986189450112867,0.029704734592673365,0.012021811929352122,0.017962964555238263,0.011239525554020295,0.02622382016544638,0.023835227973750484,0.01405374890783246,0.027034903832801212,0.01608820571689826,0.015137318358171304,0.022569585751648268,0.027153815301647847,0.030895388083686515,0.013900906033448958,0.019162808769038264,0.016245515566574224,0.02268007787965148,0.008711041248967488,0.013434495852859838,0.018862205539462013,0.006295431633530174,0.019747076901203257,0.038634211318022596,0.012799283906912408,0.017911855571055516,0.023378285804180683,0.008272714946836094,0.022447855261945204,0.03044742418201071,0.018115691812891566,0.021762952513321537,0.018588927566436694,0.01377794195485532,0.01726568387002464,0.012927947751936718,0.029780004613279194,0.012292844601841242,0.004101429064860491,0.003860182074202206,0.008436010019865704,0.003345736282204202,0.003521902309944957,0.0054959522213046015,0.004228589983291439,0.005546284299257539,0.0032164166620469413,0.003571575988856663
2021-08-02,0.0233508397124516,0.02583033073112359,0.019360795879686653,0.02982372006685541,0.014734817796846178,0.022396552733108196,0.02441490075121911,0.009280127288671239,0.016021276212767825,0.027756818440878423,0.016356925561045923,0.009114979308093742,0.01208022049827909,0.02802260390629261,0.011363060002537208,0.016665153807795718,0.011174652570525636,0.02681616785529813,0.023552609339355973,0.013286591895440245,0.026812486649032574,0.01530307482086653,0.014966038390115078,0.02286389144262155,0.026899780015960943,0.03212083418290682,0.013127060490396062,0.01982866095915983,0.016278813451944363,0.021655493052332393,0.009310704234710733,0.012910033125689556,0.019574724806635344,0.006167331449434242,0.019576269550957193,0.037113734382533875,0.01213317591423248,0.01798630766424188,0.024469245414435774,0.008085665209548313,0.022913861173657728,0.032312457512462416,0.018507917159208864,0.02312978088886962,0.018474727593001443,0.012361423099866164,0.016867160660843195,0.011634133902757856,0.027821001420785495,0.012038903685007908,0.004244627306308356,0.004247572139253635,0.008106890930281217,0.0032832899867927924,0.0032436479485380525,0.005081599560700671,0.004615873398946495,0.005705749996153288,0.003141864565121437,0.003681047505415315
2021-09-01,0.022380845454730743,0.02611484246286251,0.018677276004652674,0.03153549333959293,0.014118928883671176,0.01848291530524063,0.025094845272014655,0.008748862001607632,0.01513838532410643,0.028054455487774466,0.016665870408028104,0.009101585331821852,0.012192260961842625,0.02946582189446644,0.011543543792121124,0.016372912605792756,0.011221014345467416,0.028161998953868447,0.023913469206385124,0.01336621818173126,0.026024773571863,0.015435291103004005,0.014629096311091917,0.02315705218841185,0.02645796708334795,0.030658248729784166,0.013277070176933584,0.021023096898351534,0.01664296325120647,0.0230401721433784,0.008944995154636105,0.01232269785892044,0.021049277431735593,0.006221537861664232,0.020587852133481566,0.0387531048882923,0.011538600998217134,0.016730975983018873,0.024458784755410416,0.008075030430534105,0.02447306910115774,0.03126728745884883,0.018310128937348798,0.02191316450449853,0.01750727194413655,0.012060854918511785,0.015911476961798027,0.011764630097867249,0.02974894488273981,0.011817959331081186,0.003955137127609786,0.004220699044391767,0.008051072230149276,0.0035921912969992436,0.0035444293190868806,0.0056156686541947816,0.0045523196064592,0.006346624698569118,0.0029138512012539014,0.0030530845122349343
2021-10-01,0.01841379326018498,0.027838999913949277,0.019790451687181538,0.02878170015030885,0.01602019727240171,0.021162402153646422,0.025842719873877925,0.00942356550210695,0.014275545048856392,0.03262806000592792,0.013992678267594877,0.00959513223163426,0.012313778975793374,0.027823795845633485,0.012139691015700045,0.015523134699393395,0.011241377140721116,0.027802232739194677,0.02737411315599007,0.014761133384514333,0.02613686992974662,0.014977144337228902,0.015970050103650168,0.023555151772656813,0.0257013243801294,0.032633288896696866,0.013199306208504858,0.02003727566956431,0.017260605818030225,0.0178683677280822,0.00816395988129371,0.014409870471092911,0.01986618431492975,0.00593750190608746,0.021684484140806124,0.038262242800190006,0.012236137534839191,0.01730715392957479,0.024662040682021377,0.008057024524018462,0.02256116127191009,0.029437683028942323,0.018470488339618507,0.02583651934370773,0.01944997630737368,0.013008127407650099,0.017173526953269454,0.01048170343170339,0.030156720702588864,0.011342264317356405,0.0035184046705470516,0.003684396688575233,0.007097863175275923,0.0026531184279268145,0.0030155499477603374,0.004827452407681532,0.0036176410627163733,0.0035901798987708587,0.0025335033977472478,0.0028732318651222655
