date,equity_equal_weight_sentiment_fused
2021-01-04,-0.01368902446335752
2021-01-05,0.012380992908374775
2021-01-06,0.013287937851291023
2021-01-07,0.009629401729415961
2021-01-08,0.0029421625657612615
2021-01-11,-0.00013202219103967744
2021-01-12,0.0027393582503171293
2021-01-13,4.9682559773612394e-05
2021-01-14,0.0028399695242289275
2021-01-15,-0.010799588413468703
2021-01-19,0.007074065637638762
2021-01-20,0.007934193303418125
2021-01-21,-0.007231916661155575
2021-01-22,-0.00280668308876628
2021-01-25,0.0018067377423595934
2021-01-26,-0.004948711049015924
2021-01-27,-0.026068003546679035
2021-01-28,0.01081232677529798
2021-01-29,-0.014849015936571586
2021-02-01,0.008561200062650097
2021-02-02,0.017849630821618834
2021-02-03,0.0013045704179593318
2021-02-04,0.009232810089746107
2021-02-05,0.006198644618711647
2021-02-08,0.012646243733050871
2021-02-09,-0.0026451582164520016
2021-02-10,0.0012140119138889134
2021-02-11,-0.0008226975366667292
2021-02-12,0.004362239572538654
2021-02-16,0.00046059911690037644
2021-02-17,0.002270063423578024
2021-02-18,-0.005634464898755424
2021-02-19,0.0011366924475135743
2021-02-22,0.0016198520500615293
2021-02-23,0.0002235467264391035
2021-02-24,0.014306424247869546
2021-02-25,-0.01835875899584412
2021-02-26,-0.012759303344044555
2021-03-01,0.01995376023771487
2021-03-02,-0.002797970933811536
2021-03-03,-0.007111600419280909
2021-03-04,-0.007914294208848018
2021-03-05,0.017557939508874916
2021-03-08,0.0017890064530012427
2021-03-09,0.0073104218241823275
2021-03-10,0.009854166302284991
2021-03-11,0.005353871815222683
2021-03-12,0.00704295782824575
2021-03-15,0.005764141086970228
2021-03-16,-0.00017368693270723278
2021-03-17,0.002175028951408867
2021-03-18,-0.013545899069307477
2021-03-19,-0.004738488595916864
2021-03-22,0.005895765648670139
2021-03-23,-0.008063004955223732
2021-03-24,-0.0033735783268216356
2021-03-25,0.007086414578555
2021-03-26,0.019619627241808196
2021-03-29,0.0010658416650345184
2021-03-30,-0.00326502550640747
2021-03-31,-0.0009576007374135129
2021-04-01,0.011936708574763505
2021-04-05,0.005026865789753206
2021-04-06,0.0003323909313094309
2021-04-07,-0.0009493790822803569
2021-04-08,-0.0012731297194972398
2021-04-09,0.0025950137628748212
2021-04-12,-0.0004803476787824046
2021-04-13,0.0016288355619776158
