date,equity_equal_weight,equity_min_variance,equity_risk_parity,equity_max_sharpe,crypto_equal_weight,crypto_min_variance,crypto_risk_parity,crypto_max_sharpe,combined_equal_weight,combined_min_variance,combined_risk_parity,combined_max_sharpe
2020-09-10,,,,,0.018982136927113667,0.01234844035911875,0.01849492759720328,0.02148462377386167,,,,
2020-09-11,,,,,0.0068067435248405864,0.010494268702576715,0.007057650759568841,0.012688766760258268,,,,
2020-09-12,,,,,0.011090582583458797,0.008713591934927096,0.010703489589061818,0.0048872244335463515,,,,
2020-09-13,,,,,-0.039131846641066184,-0.03963873320583005,-0.03832765269345959,-0.04189569393846329,,,,
2020-09-14,,,,,0.01765462423132048,0.016018759349751263,0.017848014646958676,0.01747155470119537,,,,
2020-09-15,,,,,-0.015605700937015578,-0.02167236362116731,-0.015571761567341703,-0.033392994526046584,,,,
2020-09-16,,,,,-0.0041022401119938726,0.0011000312567592033,-0.002752925265002779,-0.005238927708220774,,,,
2020-09-17,,,,,0.021438464804721127,0.017959393782079253,0.020627705284332665,0.03053217961767062,,,,
2020-09-18,,,,,-0.005838497929824605,-0.0021284247111156996,-0.005596787306305578,-0.007002425284781701,,,,
2020-09-19,,,,,-7.131241537610122e-05,-0.001422987238071159,0.00024310449723475848,-0.003047832921677576,,,,
2020-09-20,,,,,-0.02487133959672372,-0.02304727107780416,-0.02434769740187034,-0.02505125429015464,,,,
2020-09-21,,,,,-0.06832505032234804,-0.06722287017147502,-0.06757054055859596,-0.07651749256867668,,,,
2020-09-22,,,,,0.015771074341430973,0.012542653895829772,0.015142279333162013,0.010336091392634915,,,,
2020-09-23,,,,,-0.04339267405569573,-0.03685988022177896,-0.04287286884764253,-0.045071708796430014,,,,
2020-09-24,,,,,0.05168941928065285,0.0478738841953549,0.05141276147147039,0.06240000951364864,,,,
2020-09-25,,,,,0.03294130092428595,0.028584962502099312,0.03179951409299089,0.0531803921019618,,,,
2020-09-26,,,,,0.011785647065008889,0.00392611050745258,0.01104332958317367,-0.000279371423424113,,,,
2020-09-27,,,,,0.008200574789262439,-0.004729716460016432,0.0069867224831664815,0.00697728106370055,,,,
