rebalance_date,ABBV,ABT,ADBE,AEP,AMD,AMGN,AMT,BA,CAT,CCI,CMCSA,COP,CVX,D,DD,DIS,DOW,DUK,EA,GE,GILD,GS,INTC,KO,MMM,MRK,MS,NEE,NEM,NKE,NUE,NVDA,O,OXY,PLD,PSA,QCOM,SBUX,SHW,SLB,SO,T,TMUS,TTWO,UPS,USB,V,WFC,WMT,XOM
2021-01-04,0.020050625377925884,0.020050625377925884,0.019524686071154027,0.01941115093573019,0.019524686071154027,0.020050625377925884,0.01955192534759644,0.019615025856329987,0.019615025856329987,0.01955192534759644,0.01998943238154825,0.019169202068506395,0.019169202068506395,0.01941115093573019,0.01938177524544915,0.0219466926597017,0.01938177524544915,0.01941115093573019,0.01998943238154825,0.019615025856329987,0.020050625377925884,0.021359484056057972,0.019524686071154027,0.0219466926597017,0.019615025856329987,0.020050625377925884,0.021359484056057972,0.01941115093573019,0.01938177524544915,0.0219466926597017,0.01938177524544915,0.019524686071154027,0.01955192534759644,0.019169202068506395,0.01955192534759644,0.01955192534759644,0.019524686071154027,0.0219466926597017,0.01938177524544915,0.019169202068506395,0.01941115093573019,0.01998943238154825,0.01998943238154825,0.01998943238154825,0.019615025856329987,0.021359484056057972,0.021359484056057972,0.021359484056057972,0.0219466926597017,0.019169202068506395
2021-02-01,0.019018677734954047,0.019018677734954047,0.020389350851847145,0.020053270838921597,0.020389350851847145,0.019018677734954047,0.019407307014778108,0.02119162913707829,0.02119162913707829,0.019407307014778108,0.02043609616986433,0.017645965392778316,0.017645965392778316,0.020053270838921597,0.019766602823228972,0.021107707173523952,0.019766602823228972,0.020053270838921597,0.02043609616986433,0.02119162913707829,0.019018677734954047,0.020983392863025238,0.020389350851847145,0.021107707173523952,0.02119162913707829,0.019018677734954047,0.020983392863025238,0.020053270838921597,0.019766602823228972,0.021107707173523952,0.019766602823228972,0.020389350851847145,0.019407307014778108,0.017645965392778316,0.019407307014778108,0.019407307014778108,0.020389350851847145,0.021107707173523952,0.019766602823228972,0.017645965392778316,0.020053270838921597,0.02043609616986433,0.02043609616986433,0.02043609616986433,0.02119162913707829,0.020983392863025238,0.020983392863025238,0.020983392863025238,0.021107707173523952,0.017645965392778316
2021-03-01,0.01929429595714453,0.01929429595714453,0.02003328703103098,0.019541891981685808,0.02003328703103098,0.01929429595714453,0.02005424963374773,0.019630488642224535,0.019630488642224535,0.02005424963374773,0.020599356408544517,0.01999215286720943,0.01999215286720943,0.019541891981685808,0.020010188615961957,0.020749337898170794,0.020010188615961957,0.019541891981685808,0.020599356408544517,0.019630488642224535,0.01929429595714453,0.020094750964279727,0.02003328703103098,0.020749337898170794,0.019630488642224535,0.01929429595714453,0.020094750964279727,0.019541891981685808,0.020010188615961957,0.020749337898170794,0.020010188615961957,0.02003328703103098,0.02005424963374773,0.01999215286720943,0.02005424963374773,0.02005424963374773,0.02003328703103098,0.020749337898170794,0.020010188615961957,0.01999215286720943,0.019541891981685808,0.020599356408544517,0.020599356408544517,0.020599356408544517,0.019630488642224535,0.020094750964279727,0.020094750964279727,0.020094750964279727,0.020749337898170794,0.01999215286720943
2021-04-01,0.019879447660670013,0.019879447660670013,0.020130785432472036,0.019563011316005192,0.020130785432472036,0.019879447660670013,0.019351537711889664,0.020130940244773732,0.020130940244773732,0.019351537711889664,0.019351537711889664,0.020790982493050867,0.020790982493050867,0.019563011316005192,0.01958065991839844,0.020718065898952465,0.01958065991839844,0.019563011316005192,0.019351537711889664,0.020130940244773732,0.019879447660670013,0.020503031611897947,0.020130785432472036,0.020718065898952465,0.020130940244773732,0.019879447660670013,0.020503031611897947,0.019563011316005192,0.01958065991839844,0.020718065898952465,0.01958065991839844,0.020130785432472036,0.019351537711889664,0.020790982493050867,0.019351537711889664,0.019351537711889664,0.020130785432472036,0.020718065898952465,0.01958065991839844,0.020790982493050867,0.019563011316005192,0.019351537711889664,0.019351537711889664,0.019351537711889664,0.020130940244773732,0.020503031611897947,0.020503031611897947,0.020503031611897947,0.020718065898952465,0.020790982493050867
2021-05-03,0.020708373548146235,0.020708373548146235,0.019047754116093107,0.020540027122479692,0.019047754116093107,0.020708373548146235,0.020158947850171683,0.01950227413329572,0.01950227413329572,0.020158947850171683,0.020306749265784206,0.0210944357519972,0.0210944357519972,0.020540027122479692,0.018991638640870927,0.01981044928410606,0.018991638640870927,0.020540027122479692,0.020306749265784206,0.01950227413329572,0.020708373548146235,0.019839350287055187,0.019047754116093107,0.01981044928410606,0.01950227413329572,0.020708373548146235,0.019839350287055187,0.020540027122479692,0.018991638640870927,0.01981044928410606,0.018991638640870927,0.019047754116093107,0.020158947850171683,0.0210944357519972,0.020158947850171683,0.020158947850171683,0.019047754116093107,0.01981044928410606,0.018991638640870927,0.0210944357519972,0.020540027122479692,0.020306749265784206,0.020306749265784206,0.020306749265784206,0.01950227413329572,0.019839350287055187,0.019839350287055187,0.019839350287055187,0.01981044928410606,0.0210944357519972
2021-06-01,0.019096786486666732,0.019096786486666732,0.02044408029496108,0.019430770843058987,0.02044408029496108,0.019096786486666732,0.019820774939740674,0.019329630441203095,0.019329630441203095,0.019820774939740674,0.022018425540428533,0.01952810037822852,0.01952810037822852,0.019430770843058987,0.019608357230643185,0.020698874841610856,0.019608357230643185,0.019430770843058987,0.022018425540428533,0.019329630441203095,0.019096786486666732,0.02002419900345836,0.02044408029496108,0.020698874841610856,0.019329630441203095,0.019096786486666732,0.02002419900345836,0.019430770843058987,0.019608357230643185,0.020698874841610856,0.019608357230643185,0.02044408029496108,0.019820774939740674,0.01952810037822852,0.019820774939740674,0.019820774939740674,0.02044408029496108,0.020698874841610856,0.019608357230643185,0.01952810037822852,0.019430770843058987,0.022018425540428533,0.022018425540428533,0.022018425540428533,0.019329630441203095,0.02002419900345836,0.02002419900345836,0.02002419900345836,0.020698874841610856,0.01952810037822852
2021-07-01,0.01997785657008705,0.01997785657008705,0.020448626662931013,0.019704097307428486,0.020448626662931013,0.01997785657008705,0.019322364670988437,0.01967604123392621,0.01967604123392621,0.019322364670988437,0.020745959210488184,0.02012710251480576,0.02012710251480576,0.019704097307428486,0.019322364670988437,0.020039920005410265,0.019322364670988437,0.019704097307428486,0.020745959210488184,0.01967604123392621,0.01997785657008705,0.02063566715294618,0.020448626662931013,0.020039920005410265,0.01967604123392621,0.01997785657008705,0.02063566715294618,0.019704097307428486,0.019322364670988437,0.020039920005410265,0.019322364670988437,0.020448626662931013,0.019322364670988437,0.02012710251480576,0.019322364670988437,0.019322364670988437,0.020448626662931013,0.020039920005410265,0.019322364670988437,0.02012710251480576,0.019704097307428486,0.020745959210488184,0.020745959210488184,0.020745959210488184,0.01967604123392621,0.02063566715294618,0.02063566715294618,0.02063566715294618,0.020039920005410265,0.02012710251480576
2021-08-02,0.02018874556570691,0.02018874556570691,0.020196252536046167,0.019549401925146905,0.020196252536046167,0.02018874556570691,0.019549401925146905,0.02076138664689831,0.02076138664689831,0.019549401925146905,0.019726363111373334,0.020986830349899104,0.020986830349899104,0.019549401925146905,0.019780866843940648,0.019832086276984528,0.019780866843940648,0.019549401925146905,0.019726363111373334,0.02076138664689831,0.02018874556570691,0.0194286648188572,0.020196252536046167,0.019832086276984528,0.02076138664689831,0.02018874556570691,0.0194286648188572,0.019549401925146905,0.019780866843940648,0.019832086276984528,0.019780866843940648,0.020196252536046167,0.019549401925146905,0.020986830349899104,0.019549401925146905,0.019549401925146905,0.020196252536046167,0.019832086276984528,0.019780866843940648,0.020986830349899104,0.019549401925146905,0.019726363111373334,0.019726363111373334,0.019726363111373334,0.02076138664689831,0.0194286648188572,0.0194286648188572,0.0194286648188572,0.019832086276984528,0.020986830349899104
2021-09-01,0.019321365423189338,0.019321365423189338,0.019591251412297086,0.019246672567061238,0.019591251412297086,0.019321365423189338,0.019676727114884145,0.02067315657598188,0.02067315657598188,0.019676727114884145,0.01973678048603877,0.020218702886536512,0.020218702886536512,0.019246672567061238,0.01994433060364657,0.020680161490834778,0.01994433060364657,0.019246672567061238,0.01973678048603877,0.02067315657598188,0.019321365423189338,0.02091085143952968,0.019591251412297086,0.020680161490834778,0.02067315657598188,0.019321365423189338,0.02091085143952968,0.019246672567061238,0.01994433060364657,0.020680161490834778,0.01994433060364657,0.019591251412297086,0.019676727114884145,0.020218702886536512,0.019676727114884145,0.019676727114884145,0.019591251412297086,0.020680161490834778,0.01994433060364657,0.020218702886536512,0.019246672567061238,0.01973678048603877,0.01973678048603877,0.01973678048603877,0.02067315657598188,0.02091085143952968,0.02091085143952968,0.02091085143952968,0.020680161490834778,0.020218702886536512
2021-10-01,0.019942494059689238,0.019942494059689238,0.020967819688242538,0.019031231728101717,0.020967819688242538,0.019942494059689238,0.0199079718348407,0.020241764427801897,0.020241764427801897,0.0199079718348407,0.0195591729594566,0.02052921637659704,0.02052921637659704,0.019031231728101717,0.01992406665588495,0.01959416170085715,0.01992406665588495,0.019031231728101717,0.0195591729594566,0.020241764427801897,0.019942494059689238,0.02030210056852817,0.020967819688242538,0.01959416170085715,0.020241764427801897,0.019942494059689238,0.02030210056852817,0.019031231728101717,0.01992406665588495,0.01959416170085715,0.01992406665588495,0.020967819688242538,0.0199079718348407,0.02052921637659704,0.0199079718348407,0.0199079718348407,0.020967819688242538,0.01959416170085715,0.01992406665588495,0.02052921637659704,0.019031231728101717,0.0195591729594566,0.0195591729594566,0.0195591729594566,0.020241764427801897,0.02030210056852817,0.02030210056852817,0.02030210056852817,0.01959416170085715,0.02052921637659704
2021-11-01,0.019710454985664105,0.019710454985664105,0.020030295447469107,0.019310539797635577,0.020030295447469107,0.019710454985664105,0.019818876776228195,0.019370290213577175,0.019370290213577175,0.019818876776228195,0.02066661445509263,0.021567913568196276,0.021567913568196276,0.019310539797635577,0.019101795377747553,0.019824836536386056,0.019101795377747553,0.019310539797635577,0.02066661445509263,0.019370290213577175,0.019710454985664105,0.02059838284200332,0.020030295447469107,0.019824836536386056,0.019370290213577175,0.019710454985664105,0.02059838284200332,0.019310539797635577,0.019101795377747553,0.019824836536386056,0.019101795377747553,0.020030295447469107,0.019818876776228195,0.021567913568196276,0.019818876776228195,0.019818876776228195,0.020030295447469107,0.019824836536386056,0.019101795377747553,0.021567913568196276,0.019310539797635577,0.02066661445509263,0.02066661445509263,0.02066661445509263,0.019370290213577175,0.02059838284200332,0.02059838284200332,0.02059838284200332,0.019824836536386056,0.021567913568196276
