date,combined_risk_parity_pdais_overlay
2021-01-04,-0.00652850706222248
2021-01-05,0.01214712308167553
2021-01-06,0.02599488324951395
2021-01-07,0.00919193446394042
2021-01-08,0.0022623808509814117
2021-01-11,-0.01533094619313223
2021-01-12,-0.0035042659453329615
2021-01-13,0.009702034921120303
2021-01-14,0.003990290543154512
2021-01-15,-0.010420870150740884
2021-01-19,0.007214984952707074
2021-01-20,0.008130359020277686
2021-01-21,-0.019715105240146392
2021-01-22,0.004596015223677184
2021-01-25,0.0006324035712442344
2021-01-26,-0.0031675356327378864
2021-01-27,-0.030752970234222805
2021-01-28,0.01850232426352741
2021-01-29,-0.0077612894349862885
2021-02-01,0.008807256173735787
2021-02-02,0.018247862304064284
2021-02-03,0.003540583625623084
2021-02-04,0.004380149689894547
2021-02-05,0.01585736455791134
2021-02-08,0.01809742865281042
2021-02-09,0.004895356808420208
2021-02-10,0.0035516920160207303
2021-02-11,0.007824976262381043
2021-02-12,0.008405041947053134
2021-02-16,-0.0027247418706033318
2021-02-17,0.007239978942669192
2021-02-18,-0.003585967596011884
2021-02-19,0.0037551315852259936
2021-02-22,-0.007175134541608555
2021-02-23,-0.017748642740647164
2021-02-24,0.012452452837188061
2021-02-25,-0.020098527107750456
2021-02-26,-0.012026818244957639
2021-03-01,0.02336634030616811
2021-03-02,-0.0031061312153816594
2021-03-03,-0.004611433478647641
2021-03-04,-0.009070920073528721
2021-03-05,0.01424431482435206
2021-03-08,0.002650460061540039
2021-03-09,0.012278037683473561
2021-03-10,0.004527918377816223
2021-03-11,0.004612861962390655
2021-03-12,0.0036774987670550154
2021-03-15,0.002997181425369379
2021-03-16,0.006536288264825678
2021-03-17,0.003116458463323165
2021-03-18,-0.012357089499269829
2021-03-19,-0.0015056463699327427
2021-03-22,0.0027821726051102604
2021-03-23,-0.004034827599124229
2021-03-24,-0.011303354626950507
2021-03-25,0.004790447097306256
2021-03-26,0.02683408711374823
2021-03-29,0.007624338001167206
2021-03-30,-0.003133353287309007
2021-03-31,0.007550358557703032
2021-04-01,0.011754289635114134
2021-04-05,0.015826852970568194
2021-04-06,0.002809238732417785
2021-04-07,-0.007373259768834916
2021-04-08,0.004556240910636028
2021-04-09,0.0004188366445179434
2021-04-12,0.00022835484838716234
2021-04-13,0.01157302193826778
2021-04-14,0.002418586950773199
2021-04-15,0.015442421338863825
2021-04-16,0.00745905530442964
2021-04-19,-0.008156939243892587
2021-04-20,-0.0007454235082956833
2021-04-21,0.004058801313003564
2021-04-22,-0.010951035134853848
2021-04-23,0.004761006831192234
2021-04-26,0.011221502856116273
2021-04-27,0.0034210788377805183
2021-04-28,-0.0014888051034625052
2021-04-29,0.0062964400123768785
2021-04-30,0.002688672759644542
2021-05-03,0.010177676080780374
2021-05-04,-0.004760107294430764
2021-05-05,0.018219805978403513
2021-05-06,0.013372449105034758
2021-05-07,0.004446793044355843
2021-05-10,-0.006136664851676336
2021-05-11,0.0008456650866149552
2021-05-12,-0.027373298034055596
2021-05-13,0.013442693857326705
2021-05-14,0.01323159701821852
2021-05-17,-0.004240917195513806
2021-05-18,-0.004666401022299864
2021-05-19,-0.023495843037729624
2021-05-20,0.0194821721445552
2021-05-21,-0.00891858225490052
2021-05-24,0.02139613795725522
2021-05-25,-0.004119082517771048
2021-05-26,0.006914103212897782
2021-05-27,-0.002785568786973513
2021-05-28,-0.0030717516894270998
2021-06-01,-0.0006660535730296365
2021-06-02,0.0039941164724971116
2021-06-03,0.0038584943134912573
2021-06-04,0.0026404381448920425
2021-06-07,-0.0055302306596833415
2021-06-08,-0.003925540378718863
2021-06-09,0.0033136813562629646
2021-06-10,0.002978997045089476
2021-06-11,-0.002009079789358574
2021-06-14,0.0006720321923860312
2021-06-15,-0.0022356023160773355
2021-06-16,-0.012603663958959642
2021-06-17,-0.003365943345312539
2021-06-18,-0.016392392546261042
2021-06-21,0.003918558230677923
2021-06-22,-0.0011000064428362357
2021-06-23,-0.0005770181538768456
2021-06-24,0.00911050519535909
2021-06-25,0.003423177624674678
2021-06-28,0.0020564044892591067
2021-06-29,0.0025007042182257997
2021-06-30,0.003942079928106118
2021-07-01,0.0027567604247128634
2021-07-02,0.004748306662339092
2021-07-06,-0.003623547998546481
2021-07-07,0.0009633789259429732
2021-07-08,-0.008225610260875055
2021-07-09,0.01065821480275115
2021-07-12,0.0027690292805621817
2021-07-13,-0.004908672065982471
2021-07-14,0.0018222524959800436
2021-07-15,-0.0010181978526830671
2021-07-16,-0.006012423404067667
2021-07-19,-0.016147403779833914
2021-07-20,0.006842896882801544
2021-07-21,0.008742975347084342
2021-07-22,0.0006005904357328222
2021-07-23,0.008218842353700647
2021-07-26,0.004270725980331219
2021-07-27,0.0011314336592089169
2021-07-28,0.0016340326812131405
2021-07-29,0.004726932624903627
2021-07-30,-0.002688542818099768
2021-08-02,-0.0011321498577932896
2021-08-03,0.003813860298225505
2021-08-04,-0.005075284504109609
2021-08-05,0.005273800534888882
2021-08-06,0.0021446863708673527
2021-08-09,0.0009991857423514389
2021-08-10,0.00434757244102643
2021-08-11,0.0092163878284772
2021-08-12,0.001469852664043613
2021-08-13,0.00723000962028608
2021-08-16,0.00029920469476629123
2021-08-17,-0.004696151753717392
2021-08-18,-0.010950666310786892
2021-08-19,0.0017286045990825547
2021-08-20,0.007035888421490613
2021-08-23,0.005820030805142224
2021-08-24,-0.003974765541992803
2021-08-25,9.27897406790373e-06
2021-08-26,-0.008089460636918639
2021-08-27,0.010281053009529438
2021-08-30,4.0813890513187256e-05
2021-08-31,0.0022870078034660894
2021-09-01,0.003067874635782126
2021-09-02,0.0060213935341818315
2021-09-03,-0.00034859781650695945
2021-09-07,-0.018228835781710435
2021-09-08,0.0017968932637616591
2021-09-09,-0.007645409694501293
2021-09-10,-0.006291949498048487
2021-09-13,0.00028451784795479354
2021-09-14,-0.0054125898474265185
2021-09-15,0.006626259874464247
2021-09-16,-0.00541035814086406
2021-09-17,-0.01181396146351641
2021-09-20,-0.017829522279380325
2021-09-21,-0.00463623634035766
2021-09-22,0.009668971831071535
2021-09-23,0.007653730777829287
2021-09-24,-0.0061414053358987844
2021-09-27,-0.0032825975572483633
2021-09-28,-0.01139156274694222
2021-09-29,0.006802222124817856
2021-09-30,-0.007287529783987711
2021-10-01,0.013282318800486423
2021-10-04,-0.0024058568520812225
2021-10-05,0.005237629546779537
2021-10-06,0.0042185524203003436
2021-10-07,0.006444979149233587
2021-10-08,-0.0029910389350763346
2021-10-11,-0.007644718262960447
2021-10-12,-0.0005237435720414262
2021-10-13,0.004798558455750137
2021-10-14,0.012322225993716166
2021-10-15,0.0035316485213564347
2021-10-18,-0.0015134901492481981
2021-10-19,0.01113192059978027
2021-10-20,0.01133087480958771
2021-10-21,0.0018413353500184306
2021-10-22,0.0009966299326306673
2021-10-25,0.004915270965402955
2021-10-26,0.003918068287874135
2021-10-27,-0.015578934135352506
2021-10-28,0.010556252450157138
2021-10-29,-0.0017161187484560502
2021-11-01,0.005034761721923469
2021-11-02,0.00594722503372673
2021-11-03,0.004914156704378399
2021-11-04,0.00223586443906919
2021-11-05,-4.9071587821025286e-05
2021-11-08,0.0035847410114632806
2021-11-09,0.0022451091031285243
2021-11-10,-0.004690857031697026
2021-11-11,0.0005110984786093105
2021-11-12,0.0013921099774843227
2021-11-15,-0.001824569008708552
2021-11-16,-0.0042502656813777585
2021-11-17,-0.003918576513723219
2021-11-18,-0.004534116400290033
2021-11-19,-0.003782360483231232
2021-11-22,-0.0010698509700852342
2021-11-23,0.006917856511935269
2021-11-24,0.00047038233575776787
2021-11-26,-0.020112940474373318
2021-11-29,0.007168320237073243
2021-11-30,-0.021417083515535916
2021-12-01,-0.011323579571504217
2021-12-02,0.01891565178230076
2021-12-03,-0.0001661993117409305
2021-12-06,0.014017887610106118
2021-12-07,0.010990728919937236
2021-12-08,0.0011861240636283198
2021-12-09,-0.007788414746115162
2021-12-10,0.004593217230331707
2021-12-13,-0.0035532744889726453
2021-12-14,-0.0021303121888589377
2021-12-15,0.011802882545155272
2021-12-16,0.004866561224647014
2021-12-17,-0.012126939091606535
2021-12-20,-0.004455920074344997
2021-12-21,0.010776261672691457
2021-12-22,0.0058289545655049
2021-12-23,0.005658190893979047
2021-12-27,0.011628393176689898
2021-12-28,0.00037056562774578786
2021-12-29,0.00036131098457948765
2021-12-30,7.649998632123724e-05
2021-12-31,-0.0015153859403401876
2022-01-03,0.0022480121515896516
2022-01-04,0.0035069647580106486
2022-01-05,-0.010297695267287221
2022-01-06,-0.0012636774985683248
2022-01-07,0.00018220118716175468
2022-01-10,-0.00658316403334518
2022-01-11,0.007234160451860518
2022-01-12,0.004461541776267856
2022-01-13,-0.005211520155178901
2022-01-14,0.00013230804899995392
2022-01-18,-0.009487401471973127
2022-01-19,-0.004758585812998229
2022-01-20,-0.011578287218140883
2022-01-21,-0.012800664234169272
2022-01-24,-0.00043580727178890813
2022-01-25,-0.004476589142700562
2022-01-26,-0.010528868183991512
2022-01-27,-0.0027669159436840315
2022-01-28,0.018006284798598338
2022-01-31,0.012422651636889699
2022-02-01,0.006616164203914204
2022-02-02,0.007839266759844728
2022-02-03,-0.007378865969265293
2022-02-04,6.226137805272712e-05
2022-02-07,0.0036131129056027047
2022-02-08,0.0031193733216317025
2022-02-09,0.010025119751223652
2022-02-10,-0.018274197129049236
2022-02-11,-0.00963223184442859
2022-02-14,-0.005941161382636168
2022-02-15,0.008870799405653065
2022-02-16,-0.0012662099847964598
2022-02-17,-0.014177553249907703
2022-02-18,-0.006988786687268632
2022-02-22,-0.0033724023159097975
2022-02-23,-0.010304665965307373
2022-02-24,0.004053112519134169
2022-02-25,0.026442227079089223
2022-02-28,-0.0002447704994862034
2022-03-01,-0.008890390166570466
2022-03-02,0.01549706178462031
2022-03-03,0.0022103017520136636
2022-03-04,0.0013363874715848932
2022-03-07,-0.013287750429965998
2022-03-08,-0.006904252521068012
2022-03-09,0.013114090155604517
2022-03-10,-0.001946275529075285
2022-03-11,-0.0069840343859477435
