date,Comm,Consumer,Energy,Financials,Healthcare,Industrials,Materials,RealEstate,Tech,Utilities
2020-01-02,0.23084,-0.13938,0.50932,0.28968,0.6744399999999999,0.14696,0.21949999999999997,0.02054,0.25368,0.12738
2020-01-03,0.10846,-0.17686,-0.08341999999999998,0.04314,0.21546000000000004,-0.23752000000000004,-0.08814000000000001,-0.11591999999999998,0.31586,0.14006000000000002
2020-01-06,0.37426000000000004,0.6587,0.42742,0.4405,0.55202,0.20034000000000002,0.028080000000000004,0.11839999999999999,-0.02462000000000001,0.07274
2020-01-07,0.17558,0.3867999999999999,0.17614000000000002,0.19727999999999998,0.18788,0.17421999999999999,0.07636,0.0,-0.06988000000000003,0.12738
2020-01-08,0.41839999999999994,0.21358000000000002,0.05613999999999999,0.35906,0.3764,0.10212000000000002,0.017359999999999997,-0.006319999999999992,0.28628,0.16784000000000002
2020-01-09,0.21486,0.7601799999999999,0.15411999999999998,0.30532000000000004,0.18044,0.08092,0.07636,0.0,0.34712,0.059199999999999996
2020-01-10,0.15844,0.09183999999999999,0.25576,0.32788000000000006,0.35591999999999996,0.14687999999999998,-0.08571999999999999,-0.11144000000000001,0.6517799999999999,0.13034
2020-01-13,0.0,0.32696000000000003,0.30752,0.7599400000000001,0.42412,0.20616000000000004,0.13194,0.14368,0.72114,0.02054
2020-01-14,0.09324,0.17934,0.61912,0.2509,0.39108,0.21914000000000003,0.0336,0.059199999999999996,0.40868000000000004,0.2815
2020-01-15,-0.055120000000000016,0.35468,0.07962,0.4321999999999999,0.35816,-0.20573999999999998,0.1486,0.04046,0.16198,0.21908000000000002
2020-01-16,0.40415999999999996,0.40396,0.3367,0.5780000000000001,0.25808,0.1905,0.08808,0.1486,0.49246,0.3131
2020-01-17,0.14701999999999998,0.21688000000000002,0.3024,0.3344,0.19448000000000001,0.35812,0.27793999999999996,0.1338,0.45362,0.36366
2020-01-21,-0.04502,0.41126000000000007,0.4497,0.71166,0.24708000000000002,0.26564,0.11112,0.12738,0.19470000000000004,0.30335999999999996
2020-01-22,0.15928,0.45289999999999997,0.28735999999999995,0.03062,0.23514,-0.08924,-0.059199999999999996,0.02054,0.08414000000000002,0.33968
2020-01-23,0.4084,0.47568,0.15688,0.01964000000000001,0.14274000000000003,0.03752,0.07594,0.23243999999999998,0.25026,-0.0843
2020-01-24,0.45308000000000004,0.36256,0.40506000000000003,-0.04877999999999999,0.37551999999999996,0.18096,0.23133999999999996,0.07224,0.13732000000000003,0.48714
2020-01-27,-0.21630000000000002,0.16638000000000003,0.09845999999999999,0.024440000000000007,0.70932,0.15587999999999996,0.03204,0.10212000000000002,-0.62536,0.017079999999999984
2020-01-28,0.08943999999999999,0.28876,0.25154,0.24218,0.11443999999999994,-0.12576,0.44908000000000003,0.15158,0.26705999999999996,0.04422
2020-01-29,0.46593999999999997,-0.0032600000000000016,0.0020399999999999975,0.2537,0.22949999999999998,0.04812000000000001,0.29028,0.09878,0.4231,0.3074
2020-01-30,0.14877999999999997,0.4929200000000001,0.33727999999999997,0.03958,0.29226,0.28872,-0.21788,0.07224,0.06278000000000002,0.28890000000000005
2020-01-31,-0.09008000000000001,0.17112,0.40312000000000003,0.26632,0.51108,0.20180000000000003,-0.02459999999999999,0.14476,0.43224,0.22978
2020-02-03,0.44109999999999994,0.52144,-0.04730000000000003,0.007199999999999984,0.54454,0.19203999999999993,0.37432000000000004,0.068,0.27984,0.32336
2020-02-04,0.37736000000000003,0.61922,0.15386000000000002,0.40022,0.4359,0.29644,0.11194,0.07894,0.22586,0.15674
2020-02-05,0.13657999999999998,-0.009639999999999982,0.8634400000000001,-0.17452,0.62386,0.23895999999999998,0.06952,0.0,0.4300800000000001,0.15345999999999999
2020-02-06,0.16438,0.39261999999999997,0.39554,0.45692000000000005,0.54844,-0.01544,0.20238,0.38562,0.56832,0.37493999999999994
2020-02-07,0.16624,0.09541999999999999,0.49094,0.11839999999999999,0.48762000000000005,0.01032,0.0341,0.0,0.28001999999999994,0.3466
