date,combined_risk_parity_pdais_guardrail
2021-01-04,-0.006220248300538407
2021-01-05,0.011528258152989738
2021-01-06,0.02623275443772161
2021-01-07,0.008611853651174443
2021-01-08,0.0020631920981952095
2021-01-11,-0.016464106894820283
2021-01-12,-0.003977339222307988
2021-01-13,0.010190491792983416
2021-01-14,0.0037068350456961234
2021-01-15,-0.00979507966923966
2021-01-19,0.006690964784819479
2021-01-20,0.008203905642973713
2021-01-21,-0.019882514418637993
2021-01-22,0.004983517222299249
2021-01-25,0.0007273391001773125
2021-01-26,-0.002845997266295922
2021-01-27,-0.030770843328540073
2021-01-28,0.018763436862028197
2021-01-29,-0.007210772023228443
2021-02-01,0.009167956295428511
2021-02-02,0.01839207456766007
2021-02-03,0.0031621027803025365
2021-02-04,0.0038656846007525027
2021-02-05,0.01682717590132536
2021-02-08,0.017479053260147006
2021-02-09,0.00545154775926479
2021-02-10,0.003814756378737615
2021-02-11,0.007972640316333523
2021-02-12,0.00834158997955018
2021-02-16,-0.003046601001249207
2021-02-17,0.007258403507410137
2021-02-18,-0.003152658023940329
2021-02-19,0.003605357725150011
2021-02-22,-0.007274418857109248
2021-02-23,-0.018573551622059394
2021-02-24,0.012216060482866206
2021-02-25,-0.01958065896081431
2021-02-26,-0.012209421636139188
2021-03-01,0.023138169724963676
2021-03-02,-0.002730656217911874
2021-03-03,-0.004360388567684337
2021-03-04,-0.008816349728490576
2021-03-05,0.01412547498687436
2021-03-08,0.0031277692793319767
2021-03-09,0.012033006851889235
2021-03-10,0.0045010281988938985
2021-03-11,0.00417903034052749
2021-03-12,0.0036698653363688746
2021-03-15,0.003272824433223239
2021-03-16,0.0067498523729633
2021-03-17,0.0032788904806672027
2021-03-18,-0.012256263057070452
2021-03-19,-0.00143518515734171
2021-03-22,0.0025098753313721424
2021-03-23,-0.0037614269983825377
2021-03-24,-0.01121907483448402
2021-03-25,0.004874762835981159
2021-03-26,0.02708598915327004
2021-03-29,0.007962462095995973
2021-03-30,-0.0031911274152233078
2021-03-31,0.008007354514633741
2021-04-01,0.011888334960144476
2021-04-05,0.017107997315959057
2021-04-06,0.0032936184342133596
2021-04-07,-0.008660383869753457
2021-04-08,0.0052616714847613395
2021-04-09,1.8707904322029175e-05
2021-04-12,0.0008739477450966527
2021-04-13,0.012991895256489302
2021-04-14,0.002684415457767017
2021-04-15,0.015605663121973515
2021-04-16,0.007651982758047649
2021-04-19,-0.008694295024652552
2021-04-20,0.00015390760638811903
2021-04-21,0.0032207696274227536
2021-04-22,-0.01131781998811892
2021-04-23,0.004655079061062857
2021-04-26,0.012570939227200416
2021-04-27,0.004052881510552822
2021-04-28,-0.0014439159984661084
2021-04-29,0.006144557649561679
2021-04-30,0.0037370139830237175
2021-05-03,0.010419126104087623
2021-05-04,-0.004432875977939578
2021-05-05,0.019628829703116663
2021-05-06,0.01457371729297242
2021-05-07,0.0038729835992533175
2021-05-10,-0.005967277711825061
2021-05-11,0.002144624743666209
2021-05-12,-0.02813926049036724
2021-05-13,0.0139744295540616
2021-05-14,0.013168030871973851
2021-05-17,-0.004550693066325853
2021-05-18,-0.004418851578246417
2021-05-19,-0.025080229962769564
2021-05-20,0.020166057917431576
2021-05-21,-0.009844166335289232
2021-05-24,0.022626034972797904
2021-05-25,-0.004108451073071885
2021-05-26,0.0072381527803197605
2021-05-27,-0.0031195853420365126
2021-05-28,-0.00350120418886478
2021-06-01,-0.0009838782449928772
2021-06-02,0.003784697718520594
2021-06-03,0.0038705737031165567
2021-06-04,0.0022940213799783954
2021-06-07,-0.005775594544618337
2021-06-08,-0.003962161151780181
2021-06-09,0.003502058363043424
2021-06-10,0.002678827111192587
2021-06-11,-0.0022577195796535617
2021-06-14,0.0007343183782946487
2021-06-15,-0.00225621821581946
2021-06-16,-0.012933308098391069
2021-06-17,-0.00360108431242778
2021-06-18,-0.016525447109343387
2021-06-21,0.0032050606286017132
2021-06-22,-0.001578373589534207
2021-06-23,-0.0003136828541413527
2021-06-24,0.009284902374135916
2021-06-25,0.003429417178104348
2021-06-28,0.0021396011236916803
2021-06-29,0.0028280714314325344
2021-06-30,0.0036532379572540353
2021-07-01,0.0024293576160484037
2021-07-02,0.004796520679929817
2021-07-06,-0.0033904958901613724
2021-07-07,0.0010521088324887168
2021-07-08,-0.008405068290277993
2021-07-09,0.010654433822850619
2021-07-12,0.002758831168034549
2021-07-13,-0.005169879445737596
2021-07-14,0.0021690893928447913
2021-07-15,-0.0008714089545917103
2021-07-16,-0.0060265665977331205
2021-07-19,-0.016379896097138774
2021-07-20,0.0067383749793579195
2021-07-21,0.008846292930757947
2021-07-22,0.0008103517135547563
